label,latitude,longitude,description,category,link
Church of Our Lady of Lourdes,1.3032135,103.8530177,Iconic Catholic pilgrimage site,Place of Worship,"https://www.google.com/maps/place/Church+of+Our+Lady+of+Lourdes/@1.3032135,103.8530177,17z/data=!4m10!1m2!2m1!1sChurch+of+Our+Lady+of+Lourdes!3m6!1s0x31da19b9ff36987f:0xc0704d38c9ae630b!8m2!3d1.303175!4d103.855785!15sCh1DaHVyY2ggb2YgT3VyIExhZHkgb2YgTG91cmRlc5IBD2NhdGhvbGljX2NodXJjaOABAA!16zL20vMGIwaGhw?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Masjid Sultan Singapore,1.3022854,103.8563833,Famous mosque with golden dome,Place of Worship,"https://www.google.com/maps/place/Mosqu%C3%A9e+du+Sultan+(Masjid+Sultan)/@1.3022854,103.8563833,17z/data=!3m2!4b1!5s0x31da19b08b19d0a1:0xcfd0cdfc7df7b713!4m6!3m5!1s0x31da19b0d96aac6f:0xfca1ad52b1fa5313!8m2!3d1.3022854!4d103.8589636!16zL20vMDU5N3N2?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Sri Srinivasa Perumal Temple,1.3132706,103.8534926,Colorful Hindu temple,Place of Worship,"https://www.google.com/maps/place/Sri+Srinivasa+Perumal+Temple/@1.3132706,103.8534926,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19cf604b824b:0xffd96242e60eb51!8m2!3d1.3132706!4d103.8560729!16zL20vMGZsMWZj?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Wat Ananda Metyarama,1.278348,103.8264127,Thai Buddhist temple,Place of Worship,"https://www.google.com/maps/place/Wat+Ananda+Metyarama/@1.278348,103.8264127,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1964ec82cda3:0xb00689d806e0986!8m2!3d1.278348!4d103.828993!16s%2Fm%2F0ngv9rh?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Sakya Muni Buddha Gaya Temple,1.3147222,103.8543641,Giant Buddha statue temple,Place of Worship,"https://www.google.com/maps/place/Sakya+Muni+Buddha+Gaya+Temple/@1.3147222,103.8543641,17z/data=!3m2!4b1!5s0x31da19cf787cda7f:0x1882e03adeea859b!4m6!3m5!1s0x31da19cf7860054b:0x209f6d054c66577e!8m2!3d1.3147222!4d103.8569444!16zL20vMDNxNzZ5?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Chesed-El Synagogue,1.2974527,103.8400351,Historic Jewish synagogue,Place of Worship,"https://www.google.com/maps/place/Chesed-El+Synagogue/@1.2974527,103.8400351,17z/data=!3m1!4b1!4m6!3m5!1s0x31da199838190673:0xfc0be0bc07a8a387!8m2!3d1.2974527!4d103.8426154!16zL20vMGN3d3Zi?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Central Sikh Gurdwara,1.2980294,103.8257178,Sikh temple & community hub,Place of Worship,"https://www.google.com/maps/place/Central+Sikh+Gurdwara/@1.2980294,103.8257178,14z/data=!3m1!5s0x31da19d1a34d551b:0x8679c8f272ee141a!4m10!1m2!2m1!1sCentral+Sikh+Gurdwara!3m6!1s0x31da19d1bb70a029:0x5bcd4cfcc34af53e!8m2!3d1.3189534!4d103.8602241!15sChVDZW50cmFsIFNpa2ggR3VyZHdhcmGSAQtzaWtoX3RlbXBsZeABAA!16s%2Fg%2F1tg7pjhx?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Foo Hai Ch'an Monastery,1.3179333,103.885788,Peaceful Buddhist monastery,Place of Worship,"http://google.com/maps/place/Foo+Hai+Ch'an+Monastery/@1.3179333,103.885788,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1822e78f8101:0x196771d58626ed0a!8m2!3d1.3179333!4d103.8883683!16s%2Fm%2F011sm54y?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Jurong Lake Gardens,1.3358997,103.7235938,Lakeside park with nature trails,Park,"https://www.google.com/maps/place/Jurong+Lake+Gardens/@1.3358997,103.7235938,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0ffd28f00259:0x6f21e436ac8c03f8!8m2!3d1.3358997!4d103.7261741!16s%2Fg%2F119t6xm7s?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Bukit Timah Nature Reserve,1.3483883,103.7741207,Rainforest nature reserve,Park,"https://www.google.com/maps/place/Bukit+Timah+Nature+Reserve/@1.3483883,103.7741207,17z/data=!3m1!4b1!4m6!3m5!1s0x31da10f5981ed73b:0x7b421dc2a7c58be!8m2!3d1.3483883!4d103.776701!16zL20vMDVwZGY5?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Southern Ridges,1.2790199,103.8069149,Hiking trails with great views,Park,"https://www.google.com/maps/place/Southern+Ridges/@1.2790199,103.8069149,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1bdfc555553b:0x6635dceabafaf24e!8m2!3d1.2790199!4d103.8094952!16s%2Fm%2F047c_cg?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
